Interval,UsedMemory(bytes),TotalMemory(bytes),FreeMemory(bytes),CPUCores,EnergyEstimate(Wh)
1,3020120,260046848,257026728,16,0.044444444444444446
2,4194304,260046848,255852544,16,0.044444444444444446
3,4194304,260046848,255852544,16,0.044444444444444446
4,4194304,260046848,255852544,16,0.044444444444444446
5,4194304,260046848,255852544,16,0.044444444444444446
6,4194304,260046848,255852544,16,0.044444444444444446
7,4194304,260046848,255852544,16,0.044444444444444446
8,4194304,260046848,255852544,16,0.044444444444444446
9,4194304,260046848,255852544,16,0.044444444444444446
10,4194304,260046848,255852544,16,0.044444444444444446
